nombre,dni,correo,codigo
Estudiante Prueba Uno,71234567,guembesmiluska@gmail.com,MSX-0001
Estudiante Prueba Dos,72345678,miluskaguembes@gmail.com,MSX-0002
Estudiante Prueba Tres,73456789,milukyguem@gmail.com,MSX-0003
Estudiante Prueba Cuatro,75436068,75436068@certus.edu.pe,MSX-0004
Estudiante Prueba Cinco,75678901,guembesmiluska@gmail.com,MSX-0005
Estudiante Prueba Seis,76789012,20233908@aloe.ulima.edu.pe,MSX-0006
Estudiante Prueba Siete,77890123,guembesmiluska@gmail.com,MSX-0007
Estudiante Prueba Ocho,78901234,milukyguem@gmail.com,MSX-0008
Estudiante Prueba Nueve,79012345,guembesmiluska@gmail.com,MSX-0009
Estudiante Prueba Diez,80123456,milukyguem@gmail.com,MSX-0010
Estudiante Prueba Once,81234567,milukyguem@gmail.com,MSX-0011
Estudiante Prueba Doce,82345678,milukyguem@gmail.com,MSX-0012
Estudiante Prueba Trece,83456789,milukyguem@gmail.com,MSX-0013
